City,FAA,IATA,ICAO,Airport,Role,Enplanements
Morgantown,MGW,MGW,KMGW,Morgantown Municipal Airport (Walter L. Bill Hart Field),P-N,"7,851"
Sidney,SDY,SDY,KSDY,Sidney–Richland Municipal Airport,P-N,"8,065"
Alpena,APN,APN,KAPN,Alpena County Regional Airport,P-N,"10,031"
Marion,MWA,MWA,KMWA,Williamson County Regional Airport,P-N,"10,044"
Provincetown,PVC,PVC,KPVC,Provincetown Municipal Airport,P-N,"10,074"
Lebanon,LEB,LEB,KLEB,Lebanon Municipal Airport,P-N,"10,245"
Galena,GAL,GAL,PAGA,Edward G. Pitka Sr. Airport,P-N,"10,532"
Yakutat,YAK,YAK,PAYA,Yakutat Airport (also see Yakutat Seaplane Base),P-N,"10,756"
Farmingdale,FRG,FRG,KFRG,Republic Airport,P-N,"10,910"
Presque Isle,PQI,PQI,KPQI,Northern Maine Regional Airport at Presque Isle,P-N,"12,526"
Wrangell,WRG,WRG,PAWG,Wrangell Airport (also see Wrangell Seaplane Base),P-N,"12,569"
Iron Mountain,IMT,IMT,KIMT,Ford Airport,P-N,"12,604"
Valdez,VDZ,VDZ,PAVD,Valdez Airport (Pioneer Field),P-N,"12,631"
Hibbing,HIB,HIB,KHIB,Range Regional Airport (was Chisholm–Hibbing Airport),P-N,"12,654"
Friday Harbor,FHR,FRD,KFHR,Friday Harbor Airport,P-N,"12,831"
St. Mary's,KSM,KSM,PASM,St. Mary's Airport,P-N,"12,851"
Aniak,ANI,ANI,PANI,Aniak Airport,P-N,"13,688"
International Falls,INL,INL,KINL,Falls International Airport,P-N,"13,831"
Cedar City,CDC,CDC,KCDC,Cedar City Regional Airport,P-N,"14,413"
Hobbs,HOB,HOB,KHOB,Lea County Regional Airport,P-N,"14,707"
North Bend,OTH,OTH,KOTH,Southwest Oregon Regional Airport (was North Bend Municipal),P-N,"14,719"
Elko,EKO,EKO,KEKO,Elko Regional Airport (J.C. Harris Field),P-N,"14,893"
Ogden,OGD,OGD,KOGD,Ogden-Hinckley Airport,P-N,"15,609"
St. Cloud,STC,STC,KSTC,St. Cloud Regional Airport,P-N,"15,615"
North Las Vegas,VGT,VGT,KVGT,North Las Vegas Airport,P-N,"15,828"
Laramie,LAR,LAR,KLAR,Laramie Regional Airport,P-N,"15,957"
Rock Springs,RKS,RKS,KRKS,Southwest Wyoming Regional Airport (Rock Springs–Sweetwater County Airport),P-N,"16,110"
Rockland,RKD,RKD,KRKD,Knox County Regional Airport,P-N,"16,206"
Escanaba,ESC,ESC,KESC,Delta County Airport,P-N,"16,822"
Dickinson,DIK,DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport,P-N,"16,822"
Unalakleet,UNK,UNK,PAUN,Unalakleet Airport,P-N,"16,948"
Westerly,WST,WST,KWST,Westerly State Airport,P-N,"17,218"
Block Island,BID,BID,KBID,Block Island State Airport,P-N,"17,225"
Page,PGA,PGA,KPGA,Page Municipal Airport,P-N,"17,435"
Seattle,BFI,BFI,KBFI,King County International Airport (Boeing Field),P-N,"17,795"
Muskegon,MKG,MKG,KMKG,Muskegon County Airport,P-N,"18,165"
Brainerd,BRD,BRD,KBRD,Brainerd Lakes Regional Airport,P-N,"18,200"
Cordova,CDV,CDV,PACV,Merle K. (Mudhole) Smith Airport,P-N,"18,649"
